{{Mod
|id                               = SpellsCannotPierceUnique__1__
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = SpellsCannotPierce
|mod_type                         = SpellsCannotPierce
|game_mode                        = 0
|stat_text                        = Projectiles from [[Spell|Spells]] cannot Pierce
|stat1_id                         = projectiles_from_spells_cannot_pierce
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
