{{Mod
|id                               = SupportedByCastOnDamageTakenUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = SupportedByTrigger
|granted_skill                    = SupportCastWhenDamageTaken
|mod_type                         = SupportedByCastOnDamageTaken
|game_mode                        = 0
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Cast when Damage Taken Support|Level 12 Cast when Damage Taken]]
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_cast_on_damage_taken
|stat1_min                        = 12
|stat1_max                        = 12
|tags                             = support, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
