{{Mod
|id                               = MinionPhysicalDamageReduction3
|domain                           = 1
|generation_type                  = 2
|required_level                   = 81
|name                             = of the Phalanx
|mod_groups                       = MinionPhysicalDamageReduction
|mod_type                         = MinionPhysicalDamageReduction
|game_mode                        = 0
|stat_text                        = [[Minion|Minions]] have (13-15)% additional [[Physical Damage]] Reduction
|stat1_id                         = minion_additional_physical_damage_reduction_%
|stat1_min                        = 13
|stat1_max                        = 15
|spawn_weight1_tag                = focus_can_roll_minion_modifiers
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = physical, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
