{{Mod
|id                               = PerfectAgonyIfCritRecentlyUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = PerfectAgonyIfCritRecently
|mod_type                         = PerfectAgonyIfCritRecently
|game_mode                        = 0
|stat_text                        = You have Perfect Agony if you've dealt a [[Critical Strike]] [[Recently|recently]]
|stat1_id                         = gain_perfect_agony_if_you_have_crit_recently
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = damage, critical, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
