{{Mod
|id                               = SynthesisImplicitFasterPoisonWeapon1_
|mod_groups                       = FasterDamageAilments
|domain                           = 1
|generation_type                  = 3
|required_level                   = 36
|mod_type                         = FasterPoisonDamage
|stat_text                        = [[Poison|Poisons]] you inflict deal Damage (15-20)% faster
|stat1_id                         = faster_poison_%
|stat1_min                        = 15
|stat1_max                        = 20
|tags                             = chaos_damage, poison, damage, chaos, ailment
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
