{{Mod
|id                               = NecropolisExtraProjectiles3
|mod_groups                       = NecropolisExtraProjectiles
|domain                           = 36
|generation_type                  = 34
|required_level                   = 68
|mod_type                         = NecropolisExtraProjectiles
|stat_text                        = [[Skill|Skills]] fire 6 additional Projectiles
|stat1_id                         = number_of_additional_projectiles
|stat1_min                        = 6
|stat1_max                        = 6
|stat2_id                         = monster_necropolis_mod_value_+%
|stat2_min                        = 120
|stat2_max                        = 120
|spawn_weight1_tag                = default
|spawn_weight1_value              = 200
}}
