{{Mod
|id                               = PvPMasterFreezeAvoidanceChanceCrafted
|mod_groups                       = AvoidFreeze
|domain                           = 9
|generation_type                  = 2
|required_level                   = 20
|name                             = of Insulation
|mod_type                         = AvoidFreeze
|stat_text                        = (20-25)% chance to Avoid being [[Freeze|Frozen]]
|stat1_id                         = base_avoid_freeze_%
|stat1_min                        = 20
|stat1_max                        = 25
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = elemental, cold, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
