{{Mod
|id                               = CannotHaveNonSpectreMinionsUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = CannotHaveNonSpectreMinions
|mod_type                         = CannotHaveNonSpectreMinions
|game_mode                        = 0
|stat_text                        = You cannot have Non-Spectre [[Minion|Minions]]
|stat1_id                         = you_cannot_have_non_spectre_minions
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
