{{Mod
|id                               = ManaOnHitCorrupted
|domain                           = 1
|generation_type                  = 5
|required_level                   = 40
|mod_groups                       = ManaGainPerTarget
|mod_type                         = ManaGainPerTarget
|game_mode                        = 0
|stat_text                        = Gain (1-2) [[Mana]] per Enemy [[Hit]] with [[Attack|Attacks]]
|stat1_id                         = mana_gain_per_target
|stat1_min                        = 1
|stat1_max                        = 2
|spawn_weight1_tag                = ring
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = resource, mana, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
