{{Mod
|id                               = SocketedGemsNonCurseAuraEffectEssence1
|mod_groups                       = Supported
|domain                           = 1
|generation_type                  = 2
|required_level                   = 63
|granted_skill                    = SupportAuraEffectEssence1
|mod_type                         = SocketedGemsNonCurseAuraEffect
|stat_text                        = [[Item socket|Socketed]] Non-Curse Aura Gems have 20% increased Aura Effect
|stat1_id                         = local_display_socketed_non_curse_aura_gems_effect_+%
|stat1_min                        = 20
|stat1_max                        = 20
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = skill, aura, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
