{{Mod
|id                               = ArmourEnchantmentHeistWhiteSockets1__
|mod_groups                       = EnchantmentHeistArmour
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|name                             = Enchantment White Sockets
|mod_type                         = ArmourEnchantmentHeistWhiteSockets
|stat_text                        = Has 2 White [[Item socket|Sockets]]
|stat1_id                         = local_has_X_white_sockets
|stat1_min                        = 2
|stat1_max                        = 2
}}
