{{Mod
|id                               = ColdWeaponDamageUniqueOneHandMace4
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = ColdWeaponDamage
|mod_type                         = ColdWeaponDamage
|game_mode                        = 0
|stat_text                        = (30-40)% increased [[Cold Damage]] with [[Attack]] [[Skill|Skills]]
|stat1_id                         = cold_damage_with_attack_skills_+%
|stat1_min                        = 30
|stat1_max                        = 40
|tags                             = elemental_damage, damage, elemental, cold, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
