{{Mod
|id                               = JewelExpansionJewelNodesMedium
|mod_groups                       = JewelExpansionJewelNodes
|domain                           = 21
|generation_type                  = 3
|required_level                   = 1
|name                             = of Potential
|mod_type                         = JewelExpansionJewelNodes
|stat_text                        = 1 Added Passive [[Skill]] is a Jewel [[Item socket|Socket]]
|stat1_id                         = local_jewel_expansion_jewels_count
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
