{{Mod
|id                               = ShocksReflectToSelfUniqueBelt12
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = ShockReflect
|mod_type                         = ShocksReflectToSelf
|game_mode                        = 0
|stat_text                        = [[Shock|Shocks]] you cause are reflected back to you
|stat1_id                         = shocks_reflected_to_self
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = elemental, lightning, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
