{{Mod
|id                               = UniqueTreeWeaponTreeSupportAddedCold
|mod_groups                       = WeaponTreeSupportAddedCold
|domain                           = 1
|generation_type                  = 31
|required_level                   = 1
|granted_skill                    = SupportAddedColdDamage
|mod_type                         = WeaponTreeSupportAddedCold
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Added Cold Damage Support|Level 30 Added Cold Damage]]
|stat1_id                         = local_display_socketed_gems_supported_by_x_added_cold_damage
|stat1_min                        = 30
|stat1_max                        = 30
|spawn_weight1_tag                = crucible_unique_staff
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
}}
