{{Mod
|id                               = SpellAddedFireDamageUnique__6_
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = SpellAddedElementalDamage
|mod_type                         = SpellAddedFireDamage
|game_mode                        = 0
|stat_text                        = Adds (14-16) to (30-32) [[Fire Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_fire_damage
|stat1_min                        = 14
|stat1_max                        = 16
|stat2_id                         = spell_maximum_added_fire_damage
|stat2_min                        = 30
|stat2_max                        = 32
|tags                             = elemental_damage, caster_damage, damage, elemental, fire, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
