{{Mod
|id                               = SynthesisImplicitMinionMovementSpeed3
|mod_groups                       = MinionMovementSpeed
|domain                           = 1
|generation_type                  = 3
|required_level                   = 48
|mod_type                         = MinionMovementSpeed
|stat_text                        = [[Minion|Minions]] have (8-10)% increased [[Movement Speed]]
|stat1_id                         = minion_movement_speed_+%
|stat1_min                        = 8
|stat1_max                        = 10
|tags                             = speed, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
