{{Base item
|rarity_id                               = normal
|name                                    = The Insatiable
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = A lust for souls. The urge to kill just to satisfy its thirst. An unbearable burden that would make even the purest heart blacken over time.
|drop_level                              = 28
|tags                                    = weapon_divination, unique_divination, unique_weapon_divination, unique_corrupted_divination, corrupted_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheInsatiable
|stack_size                              = 3
|description                             = {{c|unique|{{il|html=|The Harvest}}}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
