{{Mod
|id                               = LocalGolemBuffEffectUnique__1
|mod_groups                       = LocalGolemBuffEffect
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_skill                    = UniqueSupportLocalGolemBuffEffect
|mod_type                         = LocalGolemBuffEffect
|stat_text                        = 25% increased Effect of Buffs granted by [[Item socket|Socketed]] Golem [[Skill|Skills]]
|stat1_id                         = local_display_socketed_golem_buff_effect_+%
|stat1_min                        = 25
|stat1_max                        = 25
|tags                             = skill, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
