{{Base item
|rarity_id                               = normal
|name                                    = The Long Con
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = "This was the proudest moment of my life."<br><br>"... so far"
|drop_level                              = 80
|tags                                    = currency_divination, currency_exotic_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheLongCon
|stack_size                              = 4
|description                             = {{c|currency|Elderslayer's Exalted Orb}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
