{{Mod
|id                               = BeltIncreasedFlaskEffectUnique__2
|mod_groups                       = FlaskEffect
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = FlaskEffect
|stat_text                        = [[Flask|Flasks]] applied to you have 60% reduced Effect
|stat1_id                         = flask_effect_+%
|stat1_min                        = -60
|stat1_max                        = -60
|tags                             = flask
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
