{{Mod
|id                               = SynthesisImplicitDexterityGemQuality2
|mod_groups                       = SocketedGemQuality
|domain                           = 1
|generation_type                  = 3
|required_level                   = 50
|mod_type                         = SocketedDexterityGemQuality
|stat_text                        = +(4-6)% to Quality of [[Item socket|Socketed]] [[Dexterity]] Gems
|stat1_id                         = local_socketed_dexterity_gem_quality_+
|stat1_min                        = 4
|stat1_max                        = 6
|tags                             = attribute, gem
}}
