{{Base item
|rarity_id                               = normal
|name                                    = A Modest Request
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Cede all power and wealth to me and serve me in perpetuity.<br>A minor inconvenience I assure you.
|drop_level                              = 68
|tags                                    = jewellery_divination, unique_divination, corrupted_divination, unique_corrupted_divination, unique_jewellery_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardAModestRequest
|stack_size                              = 3
|description                             = {{c|unique|{{il|html=|Megalomaniac}}}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
