{{Mod
|id                               = MapSimulacrumProjectilesChain1
|mod_groups                       = MapSimulacrumMonsterOther
|domain                           = 5
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MapSimulacrumProjectilesChain
|stat_text                        = Monsters' [[Skill|skills]] Chain 2 additional times
|stat1_id                         = map_monster_skills_chain_X_additional_times
|stat1_min                        = 2
|stat1_max                        = 2
|tags                             = attack, caster, speed
}}
