{{Mod
|id                               = SynthesisImplicitMinionLifeJewel2
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MinionLife
|mod_type                         = MinionLife
|game_mode                        = 0
|stat_text                        = [[Minion|Minions]] have (4-5)% increased maximum [[Life]]
|stat1_id                         = minion_maximum_life_+%
|stat1_min                        = 4
|stat1_max                        = 5
|tags                             = resource, life, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
